Word,Possible Pronunciations
skimming,skɪmɪŋ
skimpiest,skɪmpiəst
skimping,skɪmpɪŋ
skinheads,skɪnhɛdz
skinned,skɪnd
skinner,skɪnɝ skɪnɚ
skinnier,skɪniɝ skɪniɚ
skinniest,skɪniəst
skins,skɪnz
skipjack,skɪpdʒæk
skipped,skɪpt
skippers,skɪpɝz skɪpɚz
skipping,skɪpɪŋ
skippy,skɪpi
skips,skɪps
skirmishes,skɝmɪʃɪz skɚmɪʃɪz
skirmishing,skɝmɪʃɪŋ skɚmɪʃɪŋ
skirted,skɝtɪd skɚtɪd
skirting,skɝtɪŋ skɚtɪŋ
skirts,skɝts skɚts
skis,skiz
skits,skɪts
skittles,skɪtəlz
skoal,skoʊl
skulking,skʌlkɪŋ
skulks,skʌlks
skullcaps,skʌlkæps
skulls,skʌls
skunks,skʌŋks
skydive,skaɪdaɪv
skye,skaɪ
skylarks,skaɪlɑɹks skaɪlɒɹks
skylights,skaɪlaɪts
skyrocketed,skaɪɹɑkətɪd skaɪɹɒkətɪd
skyrocketing,skaɪɹɑkətɪŋ skaɪɹɒkətɪŋ
skyrockets,skaɪɹɑkəts skaɪɹɒkəts
skyscrapers,skaɪskɹeɪpɝz skaɪskɹeɪpɚz
skyway,skaɪweɪ
skywriter,skaɪɹaɪtɝ skaɪɹaɪtɚ
skywriting,skaɪɹaɪtɪŋ
slabs,slæbz
slacked,slækt
slackened,slækənd
slackening,slækənɪŋ
slackers,slækɝz slækɚz
slade,sleɪd
slammed,slæmd
slamming,slæmɪŋ
slams,slæmz
slandered,slændɝd slændɚd
slandering,slændɝɪŋ slændɚɪŋ
slanders,slændɝz slændɚz
slane,sleɪn
slapped,slæpt
slapping,slæpɪŋ
slaps,slæps
slashed,slæʃt
slashes,slæʃɪz
slashing,slæʃɪŋ
slated,sleɪtɪd
slater,sleɪtɝ sleɪtɚ
slaters,sleɪtɝz sleɪtɚz
slates,sleɪts
slathered,slæðɝd slæðɚd
slathering,slæðɝɪŋ slæðɚɪŋ
slating,sleɪtɪŋ
slats,slæts
slattery,slætɝi slætɚi
slaughtered,slɔtɝd slɔtɚd
slaughterhouses,slɔtɝhaʊsɪz slɔtɚhaʊsɪz
slaughtering,slɔtɝɪŋ slɔtɚɪŋ
slaughters,slɔtɝz slɔtɚz
slav,slɑv slɒv
slaves,sleɪvz
slavic,slɑvɪk slɒvɪk
slavin,slævɪn
slavs,slɑvz slɒvz
slayings,sleɪɪŋz
sledding,slɛdɪŋ
sleds,slɛdz
slee,sli
sleeker,slikɝ slikɚ
sleekest,slikəst
sleepers,slipɝz slipɚz
sleepovers,slipoʊvɝz slipoʊvɚz
sleeps,slips
sleepwalkers,slipwɔkɝz slipwɔkɚz
sleeves,slivz
sleight,slaɪt
sleuths,sluθs
slices,slaɪsəz
slicing,slaɪsɪŋ
slicked,slɪkt
slickers,slɪkɝz slɪkɚz
slickest,slɪkəst
slicks,slɪks
slid,slɪd
slides,slaɪdz
sliding,slaɪdɪŋ
slighted,slaɪtɪd
slightest,slaɪtəst
slimmed,slɪmd
slimmest,slɪməst
slims,slɪmz
slinger,slɪŋɝ slɪŋɚ
slinging,slɪŋɪŋ
slings,slɪŋz
slingshots,slɪŋʃɑts slɪŋʃɒts
slipped,slɪpt
slippers,slɪpɝz slɪpɚz
slipping,slɪpɪŋ
slips,slɪps
slithering,slɪðɝɪŋ slɪðɚɪŋ
slits,slɪts
slitting,slɪtɪŋ
slivers,slɪvɝz slɪvɚz
slivovitz,slɪvəvɪts
sloan,sloʊn
slobbering,slɑbɝɪŋ slɑbɚɪŋ slɒbɝɪŋ slɒbɚɪŋ
slobs,slɑbz slɒbz
slogans,sloʊɡənz
slogged,slɑɡd slɒɡd
slogging,slɑɡɪŋ slɒɡɪŋ
sloper,sloʊpɝ sloʊpɚ
slopes,sloʊps
sloppier,slɑpiɝ slɑpiɚ slɒpiɝ slɒpiɚ
sloppiest,slɑpiəst slɒpiəst
sloshing,slɑʃɪŋ slɒʃɪŋ
slots,slɑts slɒts
slouches,slaʊtʃɪz
slouching,slaʊtʃɪŋ
slovenian,sloʊviniən
slowdowns,sloʊdaʊnz
slowed,sloʊd
slower,sloʊɝ sloʊɚ
slowest,sloʊəst
slowing,sloʊɪŋ
slows,sloʊz
slugged,slʌɡd
sluggers,slʌɡɝz slʌɡɚz
slugging,slʌɡɪŋ
slugs,slʌɡz
sluicing,slusɪŋ
slumbering,slʌmbɝɪŋ slʌmbɚɪŋ
slumping,slʌmpɪŋ
slumps,slʌmps
slums,slʌmz
slurred,slɝd slɚd
slurring,slɝɪŋ slɚɪŋ
slurs,slɝz slɚz
slusher,slʌʃɝ slʌʃɚ
sluts,slʌts
slutty,slʌti
smacked,smækt
smacking,smækɪŋ
smacks,smæks
smaller,smɔlɝ smɔlɚ
smallest,smɔləst
smalls,smɔlz
smartass,smɑɹtæs smɒɹtæs
smarten,smɑɹtən smɒɹtən
smartened,smɑɹtənd smɒɹtənd
smartening,smɑɹtənɪŋ smɒɹtənɪŋ
smarter,smɑɹtɝ smɑɹtɚ smɒɹtɝ smɒɹtɚ
smartest,smɑɹtəst smɒɹtəst
smarties,smɑɹtiz smɒɹtiz
smarting,smɑɹtɪŋ smɒɹtɪŋ
smarty,smɑɹti smɒɹti
smashes,smæʃɪz
smeared,smɪɹd
smearing,smɪɹɪŋ
smears,smɪɹz
smee,smi
smelled,smɛld
smelling,smɛlɪŋ
smells,smɛlz
smelters,smɛltɝz smɛltɚz
smiled,smaɪld
smiles,smaɪlz
smirking,smɝkɪŋ smɚkɪŋ
smirks,smɝks smɚks
smit,smɪt
smither,smɪðɝ smɪðɚ
smithereen,smɪðɝin smɪðɚin
smithers,smɪðɝz smɪðɚz
smithfield,smɪθfild
smiths,smɪθs
smokers,smoʊkɝz smoʊkɚz
smokes,smoʊks
smokestacks,smoʊkstæks
smokey,smoʊki
smoldering,smoʊldɝɪŋ smoʊldɚɪŋ
smooches,smutʃɪz
smoot,smut
smoothed,smuðd
smoother,smuðɝ smuðɚ
smoothest,smuðəst
smoothing,smuðɪŋ
smooths,smuðz
smothered,smʌðɝd smʌðɚd
smothering,smʌðɝɪŋ smʌðɚɪŋ
smothers,smʌðɝz smʌðɚz
smuggled,smʌɡəld
smugglers,smʌɡlɝz smʌɡlɚz
smyrna,smɝnə smɚnə
smyth,smaɪθ
snacked,snækt
snacking,snækɪŋ
snacks,snæks
snafus,snæfəs
snagged,snæɡd
snagging,snæɡɪŋ
snags,snæɡz
snails,sneɪlz
snakebite,sneɪkbaɪt
snakebites,sneɪkbaɪts
snakelike,sneɪklaɪk
snakes,sneɪks
snaking,sneɪkɪŋ
snapdragons,snæpdɹæɡənz
snape,sneɪp
snapped,snæpt
snappiest,snæpɪɛst
snapping,snæpɪŋ
snaps,snæps
snapshots,snæpʃɑts snæpʃɒts
snared,snɛɹd
snares,snɛɹz
snaring,snɛɹɪŋ
snarling,snɑɹlɪŋ snɒɹlɪŋ
snarls,snɑɹlz snɒɹlz
snatchers,snætʃɝz snætʃɚz
snatches,snætʃɪz
snatching,snætʃɪŋ
snazzier,snæziɝ snæziɚ
snead,snid
sneaked,snikt
sneakers,snikɝz snikɚz
sneaks,sniks
snee,sni
sneered,snɪɹd
sneers,snɪɹz
sneezed,snizd
sneezes,snizɪz
sneezing,snizɪŋ
snell,snɛl
sneller,snɛlɝ snɛlɚ
snickered,snɪkɝd snɪkɚd
snickering,snɪkɝɪŋ snɪkɚɪŋ
snickers,snɪkɝz snɪkɚz
snider,snaɪdɝ snaɪdɚ
sniffed,snɪft
sniffing,snɪfɪŋ
sniffles,snɪfəlz
sniffling,snɪflɪŋ
sniffs,snɪfs
sniped,snaɪpt
snipers,snaɪpɝz snaɪpɚz
snipes,snaɪps
snippets,snɪpəts
snips,snɪps
snitching,snɪtʃɪŋ
snively,snaɪvli
snobs,snɑbz snɒbz
snook,snʊk
snookered,snʊkɝd snʊkɚd
snooks,snʊks
snooping,snupɪŋ
snoops,snups
snorers,snɔɹɝz snɔɹɚz
snorted,snɔɹtɪd
snorting,snɔɹtɪŋ
snorts,snɔɹts
snouts,snaʊts
snowballed,snoʊbɔld
snowballing,snoʊbɔlɪŋ
snowballs,snoʊbɔlz
snowboarders,snoʊbɔɹdɝz snoʊbɔɹdɚz
snowboards,snoʊbɔɹdz
snowed,snoʊd
snowfalls,snoʊfɑlz snoʊfɒlz
snowflakes,snoʊfleɪks
snowing,snoʊɪŋ
snowmobiles,snoʊmoʊbilz
snowplows,snoʊplaʊz
snows,snoʊz
snowstorms,snoʊstɔɹmz
snubbed,snʌbd
snubbing,snʌbɪŋ
snubs,snʌbz
snuffed,snʌft
snuffing,snʌfɪŋ
snuffs,snʌfs
soaker,soʊkɝ soʊkɚ
soaks,soʊks
soaps,soʊps
soared,sɔɹd
soars,sɔɹz
soave,soʊv
sobbed,sɑbd sɒbd
sobbing,sɑbɪŋ sɒbɪŋ
sobbingly,sɑbɪŋli sɒbɪŋli
sobered,soʊbɝd soʊbɚd
sobers,soʊbɝz soʊbɚz
sobs,sɑbz sɒbz
socialistic,soʊʃəlɪstɪk
socialists,soʊʃəlɪsts
socialites,soʊʃəlaɪts
societe,soʊsiɛteɪ
societies,səsaɪɪtiz
sociologists,soʊsiɑlədʒɪsts soʊsiɒlədʒɪsts
sociopaths,soʊsioʊpæðz
socked,sɑkt sɒkt
sockets,sɑkəts sɒkəts
socking,sɑkɪŋ sɒkɪŋ
socks,sɑks sɒks
soco,soʊkoʊ
socrates,sɑkɹətiz sɒkɹətiz
socratic,səkɹætɪk
sodas,soʊdəz
sodom,sɔdəm
sodomized,sɔdəmaɪzd
sodomizing,sɔdəmaɪzɪŋ
sofas,soʊfəz
sofer,soʊfɝ soʊfɚ
sofia,soʊfiə
softballs,sɔftbɔlz
softened,sɔfənd
softening,sɔfənɪŋ
softens,sɔfənz
softer,sɑftɝ sɑftɚ sɒftɝ sɒftɚ
softest,sɔftəst
soho,soʊhoʊ
soils,sɔɪlz
soir,sɔɪɹ
soiree,swɑɹeɪ swɒɹeɪ
sojourner,soʊdʒɝnɝ soʊdʒɝnɚ soʊdʒɚnɝ soʊdʒɚnɚ
sok,sɑk sɒk
sola,soʊlə
solan,soʊlən
solano,soʊlɑnoʊ soʊlɒnoʊ
soldering,sɑdɝɪŋ sɑdɚɪŋ sɒdɝɪŋ sɒdɚɪŋ
soldiers,soʊldʒɝz soʊldʒɚz
soleil,soʊleɪl
soles,soʊlz
solicitations,səlɪsɪteɪʃənz
solicited,səlɪsɪtɪd
solicitors,səlɪsətɝz səlɪsətɚz
solicits,səlɪsəts
solidified,səlɪdəfaɪd
solidifies,səlɪdəfaɪz
solidifying,səlɪdəfaɪɪŋ
solids,sɑlədz sɒlədz
soloists,soʊloʊəsts
solomon,sɑləmən sɒləmən
solon,soʊlən
solos,soʊloʊz
solutions,səluʃənz
solved,sɑlvd sɒlvd
solvents,sɔlvənts
solver,sɑlvɝ sɑlvɚ sɒlvɝ sɒlvɚ
solvers,sɑlvɝz sɑlvɚz sɒlvɝz sɒlvɚz
solves,sɑlvz sɒlvz
solving,sɑlvɪŋ sɒlvɪŋ
somali,səmɑli səmɒli
somalia,səmɑliə səmɒliə
somers,sʌmɝz sʌmɚz
somersaulting,sʌmɝsɔltɪŋ sʌmɚsɔltɪŋ
somersaults,sʌmɝsɔlts sʌmɚsɔlts
somerset,sʌmɝsɛt sʌmɚsɛt
somewheres,sʌmwɛɹz
sonatas,sɑnɑtəz sɑnɒtəz sɒnɑtəz sɒnɒtəz
songbirds,sɔŋbɝdz sɔŋbɚdz
songs,sɔŋz
songwriters,sɔŋɹaɪtɝz sɔŋɹaɪtɚz
songy,sɑndʒi sɒndʒi
sonics,sɑnɪks sɒnɪks
sonnets,sɑnɪts sɒnɪts
sons,sʌnz
sontag,sɑntæɡ sɒntæɡ
sooner,sunɝ sunɚ
sooners,sunɝz sunɚz
soonest,sunəst
soothed,suðd
soothes,suðz
soothsayers,suθseɪɝz suθseɪɚz
sophia,soʊfiə
sophisticates,səfɪstəkɪts
sophocles,sɑfəkliz sɒfəkliz
sophomores,sɑfmɔɹz sɒfmɔɹz
sophy,soʊfi
sopranos,səpɹænoʊz
sops,sɑps sɒps
sorcerers,sɔɹsɝɝz sɔɹsɝɚz sɔɹsɚɝz sɔɹsɚɚz
sores,sɔɹz
sororities,sɝɔɹətiz sɚɔɹətiz
sorrows,sɑɹoʊz sɒɹoʊz
sorter,sɔɹtɝ sɔɹtɚ
sorties,sɔɹtiz
sorting,sɔɹtɪŋ
sorts,sɔɹts
sos,ɛoʊɛs
soss,sɔs
souffle,sufleɪ
souls,soʊlz
sounded,saʊndɪd
sounder,saʊndɝ saʊndɚ
soundest,saʊndɪst
sounding,saʊndɪŋ
sounds,saʊndz
soundtracks,saʊndtɹæks
souped,supt
soups,sups
sources,sɔɹsəz
sourcing,sɔɹsɪŋ
soured,saʊɝd saʊɚd
souring,saʊɝɪŋ saʊɚɪŋ
sours,saʊɝz saʊɚz
sous,suz
souter,sutɝ sutɚ
southdown,saʊθdaʊn
souther,sʌðɝ sʌðɚ
southerners,sʌðɝnɝz sʌðɝnɚz sʌðɚnɝz sʌðɚnɚz
southland,saʊθlænd
souvenirs,suvənɪɹz
sovereigns,sɑvɹənz sɒvɹənz
soviets,soʊviɛts
sowed,saʊd
sowing,soʊɪŋ
sown,soʊn
sows,soʊz
soybeans,sɔɪbinz
spaced,speɪst
spaceport,speɪspɔɹt
spacers,speɪsɝz speɪsɚz
spaces,speɪsəz
spaceships,speɪsʃɪps
spacesuits,speɪsuts
spader,speɪdɝ speɪdɚ
spain,speɪn
spalding,spɔldɪŋ
spall,spɔl
spangler,spæŋɡəlɝ spæŋɡəlɚ
spaniard,spænjɝd spænjɚd
spaniards,spænjɝdz spænjɚdz
spanish,spænɪʃ
spanked,spæŋkt
spanky,spænki
spann,spæn
spanned,spænd
spanning,spænɪŋ
spans,spænz
spared,spɛɹd
spares,spɛɹz
sparked,spɑɹkt spɒɹkt
sparking,spɑɹkɪŋ spɒɹkɪŋ
sparkled,spɑɹkəld spɒɹkəld
sparkles,spɑɹkəlz spɒɹkəlz
sparks,spɑɹks spɒɹks
sparred,spɑɹd spɒɹd
sparring,spɑɹɪŋ spɒɹɪŋ
sparrows,spɛɹoʊz
sparta,spɑɹtɑ spɑɹtɒ spɒɹtɑ spɒɹtɒ
spartans,spɑɹtənz spɒɹtənz
spas,spɑz spɒz
spasms,spæzəmz
spats,spæts
spattering,spætɝɪŋ spætɚɪŋ
spatters,spætɝz spætɚz
spatulas,spætʃʊləz
spawned,spɔnd
spawning,spɑnɪŋ spɒnɪŋ
spawns,spɑnz spɒnz
speakers,spikɝz spikɚz
speaks,spiks
spearheaded,spɪɹhɛdɪd
spearheading,spɪɹhɛdɪŋ
spearing,spɪɹɪŋ
spearman,spɪɹmən
spears,spɪɹz
specialists,spɛʃəlɪsts
specialities,spɛʃəltiz
specializes,spɛʃəlaɪzɪz
specializing,spɛʃəlaɪzɪŋ
specials,spɛʃəlz
specialties,spɛʃəltiz
specifications,spɛsəfəkeɪʃənz
specified,spɛsəfaɪd
specifies,spɛsəfaɪz
specifying,spɛsəfaɪɪŋ
specimens,spɛsəmənz
specks,spɛks
specs,spɛks
spectators,spɛkteɪtɝz spɛkteɪtɚz
spector,spɛktɝ spɛktɚ
spectra,spɛktɹə
spectrograph,spɛktɹəɡɹæf
speculated,spɛkjəleɪtəd
speculates,spɛkjəleɪts
speculating,spɛkjəleɪtɪŋ
speculations,spɛkjəleɪʃənz
speculators,spɛkjəleɪtɝz spɛkjəleɪtɚz
speeches,spitʃəz
speechifying,spitʃəfaɪɪŋ
speedboats,spidboʊts
speeded,spidɪd
speeder,spidɝ spidɚ
speeders,spidɝz spidɚz
speeds,spidz
speedup,spidAH2p
speer,spɪɹ
spelled,spɛld
spellers,spɛlɝz spɛlɚz
spellings,spɛlɪŋz
spells,spɛlz
spelman,spɛlmən
spence,spɛns
spencer,spɛnsɝ spɛnsɚ
spencers,spɛnsɝz spɛnsɚz
spendable,spɛndəbəl
spenders,spɛndɝz spɛndɚz
spends,spɛndz
sperling,spɝlɪŋ spɚlɪŋ
sperms,spɝmz spɚmz
spewed,spjud
spewing,spjuɪŋ
spews,spjuz
spheres,sfɪɹz
spiced,spaɪst
spicer,spaɪsɝ spaɪsɚ
spices,spaɪsəz
spicey,spaɪsi
spicing,spaɪsɪŋ
spiderman,spaɪdɝmæn spaɪdɚmæn
spiders,spaɪdɝz spaɪdɚz
spied,spaɪd
spiegel,spiɡəl
spieler,spilɝ spilɚ
spies,spaɪz
spiffing,spɪfɪŋ
spigots,spɪɡəts
spiker,spaɪkɝ spaɪkɚ
spikes,spaɪks
spilled,spɪld
spiller,spɪlɝ spɪlɚ
spilling,spɪlɪŋ
spills,spɪlz
spilt,spɪlt
spindler,spɪndəlɝ spɪndəlɚ
spines,spaɪnz
spinners,spɪnɝz spɪnɚz
spinning,spɪnɪŋ
spins,spɪnz
spira,spɪɹə
spiraled,spaɪɹəld
spiraling,spaɪɹəlɪŋ
spiralling,spaɪɹəlɪŋ
spirals,spaɪɹəlz
spires,spaɪɹz
spiritualists,spɪɹɪtʃuəlɪsts
spirituals,spɪɹɪtʃuəlz
spiro,spɪɹoʊ
spits,spɪts
spitting,spɪtɪŋ
spitzer,spɪtzɝ spɪtzɚ
splashed,splæʃt
splashes,splæʃɪz
splashing,splæʃɪŋ
splattered,splætɝd splætɚd
splattering,splætəɹɪŋ
splatters,splætɝz splætɚz
spliced,splaɪst
splices,splaɪsɪz
splicing,splaɪsɪŋ
splintered,splɪntɝd splɪntɚd
splintering,splɪntɝɪŋ splɪntɚɪŋ
splinters,splɪntɝz splɪntɚz
splints,splɪnts
splits,splɪts
splurged,splɝdʒd splɚdʒd
splurging,splɝdʒɪŋ splɚdʒɪŋ
spoilers,spɔɪlɝz spɔɪlɚz
spoiling,spɔɪlɪŋ
spokane,spoʊkæn
spokes,spoʊks
spokesmen,spoʊksmɪn
spokespersons,spoʊkspɝsənz spoʊkspɚsənz
sponged,spʌndʒd
sponges,spʌndʒɪz
spongiform,spʌndʒɪfɔɹm
sponsoring,spɑnsɝɪŋ spɑnsɚɪŋ spɒnsɝɪŋ spɒnsɚɪŋ
sponsors,spɑnsɝz spɑnsɚz spɒnsɝz spɒnsɚz
sponsorships,spɑnsɝʃɪps spɑnsɚʃɪps spɒnsɝʃɪps spɒnsɚʃɪps
spoofed,spuft
spooked,spukt
spooks,spuks
spooner,spunɝ spunɚ
spoonfuls,spunfʊlz
spoons,spunz
spores,spɔɹz
sported,spɔɹtɪd
sportscasters,spɔɹtskæstɝz spɔɹtskæstɚz
sportsmen,spɔɹtsmɪn
spotlights,spɑtlaɪts spɒtlaɪts
spots,spɑts spɒts
spotters,spɑtɝz spɑtɚz spɒtɝz spɒtɚz
spotting,spɑtɪŋ spɒtɪŋ
spouses,spaʊsəz
spouted,spaʊtəd
spouting,spaʊtɪŋ
spouts,spaʊts
sprained,spɹeɪnd
sprains,spɹeɪnz
sprawls,spɹɔlz
sprayed,spɹeɪd
sprayers,spɹeɪɝz spɹeɪɚz
spraying,spɹeɪɪŋ
sprays,spɹeɪz
spreading,spɹɛdɪŋ
spreads,spɹɛdz
spreadsheets,spɹɛdʃits
sprees,spɹiz
springer,spɹɪŋɝ spɹɪŋɚ
springfield,spɹɪŋfild
springing,spɹɪŋɪŋ
springs,spɹɪŋz
sprinkled,spɹɪŋkəld
sprinklers,spɹɪŋklɝz spɹɪŋklɚz
sprinkles,spɹɪŋkəlz
sprinted,spɹɪntɪd
sprinters,spɹɪntɝz spɹɪntɚz
sprinting,spɹɪntɪŋ
sprints,spɹɪnts
sprong,spɹɔŋ
sprouted,spɹaʊtəd
sprouting,spɹaʊtɪŋ
sprouts,spɹaʊts
spruced,spɹust
sprucing,spɹusɪŋ
spuds,spʌdz
spurned,spɝnd spɚnd
spurning,spɝnɪŋ spɚnɪŋ
spurns,spɝnz spɚnz
spurred,spɝd spɚd
spurring,spɝɪŋ spɚɪŋ
spurs,spɝz spɚz
spurted,spɝtɪd spɚtɪd
spurting,spɝtɪŋ spɚtɪŋ
spurts,spɝts spɚts
sputnik,spʌtnɪk
sputniks,spʌtnɪks
sputtering,spʌtɝɪŋ spʌtɚɪŋ
sputters,spʌtɝz spʌtɚz
spying,spaɪɪŋ
squabbles,skwɑbəlz skwɒbəlz
squabbling,skwɑbəlɪŋ skwɒbəlɪŋ
squadrons,skwɑdɹənz skwɒdɹənz
squads,skwɑdz skwɒdz
squalls,skwɔlz
squandered,skwɑndɝd skwɑndɚd skwɒndɝd skwɒndɚd
squandering,skwɑndɝɪŋ skwɑndɚɪŋ skwɒndɝɪŋ skwɒndɚɪŋ
squanders,skwɑndɝz skwɑndɚz skwɒndɝz skwɒndɚz
squares,skwɛɹz
squaring,skwɛɹɪŋ
squashed,skwɑʃt skwɒʃt
squashing,skwɑʃɪŋ skwɒʃɪŋ
squats,skwɑts skwɒts
squatters,skwɑtɝz skwɑtɚz skwɒtɝz skwɒtɚz
squatting,skwɑtɪŋ skwɒtɪŋ
squawking,skwɔkɪŋ
squawks,skwɔks
squeaked,skwikt
squeaking,skwikɪŋ
squeaks,skwiks
squealing,skwilɪŋ
squeals,skwilz
squeezed,skwizd
squeezes,skwizɪz
squeezing,skwizɪŋ
squelched,skwɛltʃt
squelching,skwɛltʃɪŋ
squiggles,skwɪɡəlz
squinting,skwɪntɪŋ
squires,skwaɪɝz skwaɪɚz
squirming,skwɝmɪŋ skwɚmɪŋ
squirms,skwɝmz skwɚmz
squirreled,skwɝəld skwɚəld
squirrels,skwɝəlz skwɚəlz
squirted,skwɝtəd skwɚtəd
squirting,skwɝtɪŋ skwɚtɪŋ
squirts,skwɝts skwɚts
sr,sinjɝ sinjɚ
sri,ʃɹi
sta,stʌ
stabbed,stæbd
stabbings,stæbɪŋz
stabile,steɪbɪl
stabilized,steɪbəlaɪzd
stabilizers,steɪbəlaɪzɝz steɪbəlaɪzɚz
stabilizes,steɪbəlaɪzəz
stabilizing,steɪbəlaɪzɪŋ
stabler,steɪbəlɝ steɪbəlɚ
stables,steɪbəlz
stablest,steɪbələst
stabs,stæbz
stacking,stækɪŋ
stacks,stæks
stade,steɪd
stadiums,steɪdiəmz
staffed,stæft
staffers,stæfɝz stæfɚz
stafford,stæfɝd stæfɚd
staffs,stæfs
stagecraft,steɪdʒkɹæft
staged,steɪdʒd
stagehands,steɪdʒhændz
stages,steɪdʒɪz
staggers,stæɡɝz stæɡɚz
stagnated,stæɡneɪtɪd
stained,steɪnd
staining,steɪnɪŋ
stains,steɪnz
staircases,stɛɹkeɪsɪz
stairways,stɛɹweɪz
stairwells,stɛɹwɛlz
staked,steɪkt
stakeholders,steɪkhoʊldɝz steɪkhoʊldɚz
stakeouts,steɪkaʊts
stakes,steɪks
staking,steɪkɪŋ
stalemated,steɪlmeɪtɪd
stalin,stɑlən stɒlən
stalingrad,stælɪnɡɹæd
stalinism,stælɪnɪzəm
stalinist,stɑlɪnɪst stɒlɪnɪst
stalked,stɔkt
stalkers,stɔkɝz stɔkɚz
stalks,stɔks
stalled,stɔld
staller,stɔlɝ stɔlɚ
stalling,stɔlɪŋ
stallings,stɔlɪŋz
stallions,stæljənz
stallman,stɔlmən
stalls,stɔlz
stampeded,stæmpidəd
stampeding,stæmpidɪŋ
stamper,stæmpɝ stæmpɚ
stamping,stæmpɪŋ
stamps,stæmps
stances,stænsɪz
standardized,stændɝdaɪzd stændɚdaɪzd
standards,stændɝdz stændɚdz
standbys,stændbaɪz
stander,stændɝ stændɚ
standings,stændɪŋz
standish,stændɪʃ
standoffs,stændɔfs
standouts,stændaʊts
standpoints,stændpɔɪnts
standup,stændAH2p
stanford,stænfɝd stænfɚd
stang,stæŋ
stanhope,stænhoʊp
stanley,stænli
stanzas,stænzəz
stapled,steɪpəld
staplers,steɪpəlɝz steɪpəlɚz
staples,steɪpəlz
stapling,steɪpəlɪŋ
starched,stɑɹtʃt stɒɹtʃt
starches,stɑɹtʃɪz stɒɹtʃɪz
starcraft,stɑɹkɹæft stɒɹkɹæft
stared,stɛɹd
starer,stɛɹɝ stɛɹɚ
stares,stɛɹz
stargazers,stɑɹɡeɪzɝz stɑɹɡeɪzɚz stɒɹɡeɪzɝz stɒɹɡeɪzɚz
starker,stɑɹkɝ stɑɹkɚ stɒɹkɝ stɒɹkɚ
starlets,stɑɹləts stɒɹləts
starr,stɑɹ stɒɹ
starring,stɑɹɪŋ stɒɹɪŋ
starstruck,stɑɹstɹAH2k stɒɹstɹAH2k
started,stɑɹtəd stɒɹtəd
starters,stɑɹtɝz stɑɹtɚz stɒɹtɝz stɒɹtɚz
startles,stɑɹtəlz stɒɹtəlz
starts,stɑɹts stɒɹts
startup,stɑɹtAH2p stɒɹtAH2p
starves,stɑɹvz stɒɹvz
stashed,stæʃt
stashing,stæʃɪŋ
stated,steɪtɪd
statements,steɪtmənts
staters,steɪtɝz steɪtɚz
states,steɪts
statesmen,steɪtsmɪn
stating,steɪtɪŋ
stationed,steɪʃənd
stations,steɪʃənz
statism,steɪtɪzəm
stats,stæts
statues,stætʃuz
statutes,stætʃuts
staunchest,stɔntʃəst
staving,steɪvɪŋ
stayed,steɪd
staying,steɪɪŋ
stays,steɪz
stead,stɛd
steadied,stɛdid
steadier,stɛdiɝ stɛdiɚ
steadman,stɛdmən
steaks,steɪks
stealer,stilɝ stilɚ
stealing,stilɪŋ
steals,stilz
stealthier,stɛlθiɝ stɛlθiɚ
stealthiest,stɛlθiəst
steamboats,stimboʊts
steamers,stimɝz stimɚz
steams,stimz
stearic,stiɹɪk
stebbins,stɛbɪnz
steeds,stidz
steele,stil
steeled,stild
steeler,stilɝ stilɚ
steelers,stilɝz stilɚz
steelhead,stilhɛd
steelmaking,stilmeɪkɪŋ
steels,stilz
steelworkers,stilwɝkɝz stilwɝkɚz stilwɚkɝz stilwɚkɚz
steen,stin
steeped,stipt
steeper,stipɝ stipɚ
steepest,stipəst
steeples,stipəlz
steered,stɪɹd
steering,stɪɹɪŋ
steers,stɪɹz
stell,stɛl
stella,stɛlə
stemmed,stɛmd
stemming,stɛmɪŋ
stempel,stɛmpəl
stemple,stɛmpəl
stems,stɛmz
stenciled,stɛnsɪld
stenciling,stɛnsɪlɪŋ
steno,stɛnoʊ
stenographic,stɛnəɡɹæfɪk
stentor,stɛntɝ stɛntɚ
stepchildren,stɛptʃɪldɹən
stepdaughters,stɛpdɔtɝz stɛpdɔtɚz
stephen,stivən
stepladders,stɛplædɝz stɛplædɚz
stepped,stɛpt
stepper,stɛpɝ stɛpɚ
steppers,stɛpɝz stɛpɚz
steppes,stɛps
stepping,stɛpɪŋ
steppingstone,stɛpɪŋstoʊn
steps,stɛps
stepsisters,stɛpsɪstɝz stɛpsɪstɚz
steptoe,stɛptoʊ
stereomicroscope,stɛɹioʊmaɪkɹəskoʊp
stereos,stɛɹioʊz
stereotyped,stɛɹioʊtaɪpt
stereotypes,stɛɹioʊtaɪps
stereotyping,stɛɹioʊtaɪpɪŋ
sterilized,stɛɹəlaɪzd
sterilizers,stɛɹəlaɪzɝz stɛɹəlaɪzɚz
sterilizes,stɛɹəlaɪzɪz
sterner,stɝnɝ stɝnɚ stɚnɝ stɚnɚ
sternest,stɝnəst stɚnəst
sterns,stɝnz stɚnz
steroids,stɛɹɔɪdz
stethoscopes,stɛθəskoʊps
stetson,stɛtsən
steuben,stjubɪn
steve,stiv
steven,stivən
stewardess,stuɝdəs stuɚdəs
stewardesses,stuɝdəsɪz stuɚdəsɪz
stewards,stuɝdz stuɚdz
stewart,stuɝt stuɚt
stewing,stuɪŋ
stews,stuz
