Word,Possible IPA from CMU,Possible IPA from Cambridge
schedule,skɛdʒʊl,skɛdʒul skɛdʒul skɛdʒul skɛdʒul əl skɛdʒul əl skɛdʒul skɛdʒul skɛdʒul skɛdʒul skɛdʒul
scheduled,skɛdʒʊld,skɛdʒuld skɛdʒuld skɛd skɛd
scheduler,skɛdʒʊlɝ skɛdʒʊlɚ,skɛdʒulɚ skɛdʒuləɹ
scheduling,skɛdʒʊlɪŋ,skɛdʒulɪŋ
schizophrenic,ʃɪzəfɹɛnɪk,skɪtsəfɹɛnɪk skɪtsəfɹɛnɪk
sclerosis,sklɝoʊsəs sklɚoʊsəs,skləɹoʊsɪs skləɹoʊsɪs
scrambling,skɹæmbəlɪŋ,skɹæmblɪŋ
scrivener,skɹɪvnɝ skɹɪvnɚ,skɹɪvənɚ
scullion,skʌljən,skʌliən
sculptural,skʌlptʃɝəl skʌlptʃɚəl,skʌlptʃɚɹəl
scuppernong,skʌpɝnɔŋ skʌpɚnɔŋ,skʌpɚnɑŋ
scuttlebutt,skʌtəlbAH2t,skʌtəlbʌt skʌtəlbʌt
scythe,sɪθ,saɪð sɑɪð
seafront,sifɹənt,sifɹʌnt
seagull,siɡAH2l,siɡʌl
seamstress,simstɹɪs,simstɹəs simstɹəs
seaside,sisaɪd,sisɑɪd
seated,sitəd,sitɪd
seaworthy,siwɔɹði,siwɝði
seclusion,sɪkluʒən,səkluʒən
secretariat,sɛkɹɪtɛɹiət,sɛkɹətɛɹiət tɛɹi
secretion,səkɹiʃən,sɪkɹiʃən
secretly,sikɹɪtli,sikɹətli
secularist,sɛkjəlɝɪst sɛkjəlɚɪst,sɛkjələɹɪst
secure,sɪkjʊɹ,səkjʊɹ səkjʊɹ səkjʊɹ səkjʊɹ səkjʊɹ səkjʊɹ sɪkjʊəɹ sɪkjʊəɹ sɪkjʊəɹ sɪkjʊəɹ
securely,sɪkjʊɹli,səkjʊɹli səkjʊɹli sɪkjʊəɹli
security,sɪkjʊɹəti,səkjʊɹəti səkjʊɹəti səkjʊɹəti səkjʊɹəti səkjʊɹəti sɪkjʊəɹɪti sɪkjʊəɹɪti sɪkjʊəɹɪti sɪkjʊəɹɪti sɪkjʊəɹɪti
sedately,sɪdeɪtli,sədeɪtli
sedation,sədeɪʃən,sədeɪʃɛn
sedimentation,sɛdəmənteɪʃən,sɛdəmɛnteɪʃən sɛdəmɛnteɪʃən
seditious,sɪdɪʃəs,sədɪʃəs
seducer,sɪdusɝ sɪdusɚ,sədusɚ
seeded,sidəd,sidɪd sidɪd sidɪd sidɪd sidɪd
seer,siɹ,sɪɹ
segmentation,sɛɡmənteɪʃən,sɛɡmɛnteɪʃən sɛɡmɛnteɪʃən
segue,sɛɡ,sɛɡweɪ
selectivity,sɪlɛktɪvəti,səlɛktɪvəti
selflessness,sɛlfləsnɪs,sɛlfləsnəs
semantic,sɪmæntɪk,səmæntɪk səmæntɪk
semantics,sɪmæntɪks,səmæntɪks səmæntɪks
semiannual,sɛmiænjəwəl,sɛmiænjuəl
senescence,sənɛsəns,sɪnɛsəns
senile,sinaɪl,sɛnaɪl sinɑɪl sɛnɑɪl
senses,sɛnsɪz,sɛns
sensibility,sɛnsɪbɪlɪti,sɛnsəbɪləti sɛnsəbɪlɪti
sensitively,sɛnsɪtɪvli,sɛnsətɪvli sɛnsətɪvli sɛnsətɪvli sɛnsətɪvli sɛnsətɪvli
sensitivity,sɛnsɪtɪvɪti,sɛnsətɪvəti sɛnsətɪvəti sɛnsətɪvəti sɛnsətɪvəti sɛnsətɪvəti sɛnsətɪvɪti sɛnsətɪvɪti sɛnsətɪvɪti sɛnsətɪvɪti
sensory,sɛnsɝi sɛnsɚi,sɛnsəɹi sɛnsəɹi
sensual,sɛnʃəwəl,sɛnʃuəl sɛnʃuəl
sensuous,sɛnʃəwəs,sɛnʃuəs sɛnʃuəs sɛnʃuəs sɛnʃuəs
sentinel,sɛntənəl,sɛntɪnəl sɛntɪnəl
separate,sɛpɝeɪt sɛpɚeɪt,sɛpɚət sɛpəɹət
separates,sɛpɝeɪts sɛpɚeɪts,sɛpɚəts
separation,sɛpɝeɪʃən sɛpɚeɪʃən,sɛpəɹeɪʃən sɛpəɹeɪʃən sɛpəɹeɪʃən sɛpəɹeɪʃən
sequential,səkwɛnʃəl,sɪkwɛnʃəl sɪkwɛnʃəl
sequentially,səkwɛnʃəli,sɪkwɛnʃəli
sequestration,sɛkwəstɹeɪʃən,sikwɛstɹeɪʃən sikwɛstɹeɪʃən sikwɛstɹeɪʃən
sequined,sikwənd,sikwɪnd
serendipitous,sɛɹəndɪpɪtəs,sɛɹəndɪpətəs
serendipity,sɛɹəndɪpɪti,sɛɹəndɪpəti
serene,sɝin sɚin,səɹin səɹin
serenely,sɝinəli sɚinəli,səɹinli
serenity,sɝɛnəti sɚɛnəti,səɹɛnəti
serotonin,sɝətoʊnɪn sɚətoʊnɪn,sɛɹətoʊnɪn
serrano,sɝɑnoʊ sɝɒnoʊ sɚɑnoʊ sɚɒnoʊ,səɹɑnoʊ
serrated,sɛɹeɪtɪd,səɹeɪtɪd səɹeɪtɪd sɛɹeɪ
service,sɝvəs sɚvəs,sɝvɪs sɝvɪs sɝvɪs sɝvɪs sɝvɪs sɝvɪs sɝvɪs sɝvɪs sɝvɪs sɝvɪs sɝvɪs sɝvɪs sɜɹvɪs sɜɹvɪs sɜɹvɪs sɜɹvɪs sɜɹvɪs sɜɹvɪs sɜɹvɪs sɜɹvɪs sɜɹvɪs
serviceable,sɝvəsəbəl sɚvəsəbəl,sɝvɪsəbəl sɜɹvɪsəbəl
serviceman,sɝvəsmæn sɚvəsmæn,sɝvɪsmən sɜɹvɪsmæn mən
servile,sɝvəl sɚvəl,sɝvaɪl sɜɹvəl vɑɪl
settler,sɛtəlɝ sɛtəlɚ,sɛtlɚ sɛtləɹ sɛtələɹ
setup,sɛtAH2p,sɛtʌp sɛtʌp sɛtʌp
seventieth,sɛvəntiɪθ,sɛvəntiəθ sɛvəntiəθ sɛvəntiəθ
severity,sɪvɛɹɪti,səvɛɹəti səvɛɹəti səvɛɹəti səvɛɹɪti səvɛɹɪti
sewage,suədʒ,suɪdʒ suɪdʒ suɪdʒ
sexless,sɛkslɪs,sɛksləs sɛksləs
sextuplet,sɛkstʌplɛt,sɛkstʌplət
shakeup,ʃeɪkAH2p,ʃeɪkʌp
shalom,ʃəloʊm,ʃəlɑm
shamanism,ʃeɪmənɪzm,ʃeɪmənɪzəm
sharia,ʃɑɹiə ʃɒɹiə,ʃəɹiə
shaw,ʃɔ,ʃɑ
shawl,ʃɔl,ʃɑl
shears,ʃiɹz,ʃɪɹz ʃɪɹz
sheikh,ʃik,ʃeɪk
shellac,ʃɛlæk,ʃəlæk ʃəlæk
shellacking,ʃɛlækɪŋ,ʃəlækɪŋ
shied,ʃaɪd,ʃɑɪd
shies,ʃaɪz,ʃɑɪz
shiftless,ʃɪftlɪs,ʃɪftləs ʃɪftləs
shithead,ʃɪthɛd,ʃithɛd
shortage,ʃɔɹtədʒ,ʃɔɹtɪdʒ ʃɔɹtɪdʒ
shortcoming,ʃɔɹtkAH2mɪŋ,ʃɔɹtkʌmɪŋ ʃɔɹtkʌmɪŋ
shortcut,ʃɔɹtkAH2t,ʃɔɹt ʃɔɹt ʃɔɹt ʃɔɹtkʌt
shortening,ʃɔɹtənɪŋ,ʃɔɹtnɪŋ ʃɔɹtnɪŋ
shortsightedness,ʃɔɹtsaɪtɪdnɪs,ʃɔɹtsaɪtɪdnəs ʃɔɹtsaɪtɪdnəs
shotgun,ʃɑtɡAH2n ʃɒtɡAH2n,ʃɑtɡʌn ʃɑtɡʌn ʃɑtɡʌn ʃɑtɡʌn
shoulders,ʃoʊldɝz ʃoʊldɚz,ʃoʊldɚ ʃoʊldɚ
showroom,ʃoʊɹʊm,ʃoʊɹum ʃoʊɹum ɹʊm
shredded,ʃɹɛdəd,ʃɹɛdɪd
sidewalk,saɪdwɔk,saɪdwɑk sɑɪdwɔk
sighted,saɪtəd,saɪtɪd
significance,səɡnɪfɪkəns,sɪɡnɪfəkəns sɪɡnɪfəkəns
significant,səɡnɪfɪkənt,sɪɡnɪfəkənt sɪɡnɪfəkənt sɪɡnɪfɪkənt
silhouetted,sɪləwɛtɪd,sɪlɛtɛtɪd
silica,sɪləkə,sɪlɪkə
silverware,sɪlvɝwɛɹ sɪlvɚwɛɹ,vɚwɛɹ vɚwɛɹ vɚwɛɹ sɪlvəɹwɛəɹ
simmering,sɪmɝɪŋ sɪmɚɪŋ,sɪməɹɪŋ sɪməɹɪŋ
simplification,sɪmpləfɪkeɪʃən,sɪmpləfəkeɪʃən
simulate,sɪmjələt,sɪmjəleɪt sɪmjəleɪt
sinister,sɪnɪstɝ sɪnɪstɚ,sɪnəstɚ sɪnəstəɹ
sire,saɪɝ saɪɚ,saɪɹ saɪɹ sɑɪəɹ sɑɪəɹ
sixtieth,sɪkstiɪθ,sɪkstiəθ sɪkstiəθ sɪkstiəθ
skeptical,skɛptəkəl,skɛptɪkəl
skepticism,skɛptɪsɪzəm,skɛptəsɪzəm
skier,skaɪɹ,skiɚ
skillet,skɪlət,skɪlɪt skɪlɪt
skulduggery,skəldʌɡɝi skəldʌɡɚi,skʌldʌɡɚi
skyrocket,skaɪɹɑkət skaɪɹɒkət,skaɪɹɑkɪt skɑɪɹɑkɪt ɹɑkɪt
slanted,slæntəd,slæntɪd slæntɪd
slaughter,slɔtɝ slɔtɚ,slɑtɚ slɑtɚ slɑtɚ slɔtəɹ slɔtəɹ
slaughterhouse,slɔtɝhaʊs slɔtɚhaʊs,slɑtɚhaʊs slɔtəɹhɑʊs
slavery,sleɪvɝi sleɪvɚi,sleɪvəɹi sleɪvəɹi sleɪvəɹi
slavishly,slævɪʃli,sleɪvɪʃli
sleepwalk,slipwɔk,slipwɑk slipwɑk
sleepwalker,slipwɔkɝ slipwɔkɚ,slipwɑkɚ
sleeveless,slivlɪs,slivləs slivləs
smallish,smɔlɪʃ,smɑlɪʃ
smallness,smɔlnəs,smɑlnəs smɑlnəs smɑlnəs
smartness,smɑɹtnɪs smɒɹtnɪs,smɑɹtnəs smɑɹtnəs smɑɹtnəs
smithereens,smɪðɝinz smɪðɚinz,smɪðəɹinz smɪðəɹinz
smoggy,smɔɡi,smɑɡi
snarled,snɑɹəld snɒɹəld,snɑɹld
snippet,snɪpət,snɪpɪt snɪpɪt
snooker,snʊkɝ snʊkɚ,snukɚ snukɚ
snot,snɔt,snɑt snɑt snɑt snɑt
snotty,snɔti,snɑti snɑti snɑti
sobriety,soʊbɹaɪəti,səbɹaɪəti səbɹaɪəti səbɹɑɪɪti səbɹɑɪɪti
socialization,soʊʃəlɪzeɪʃən,soʊʃələzeɪʃən
socialized,soʊʃəlaɪzd,soʊʃəlɑɪzd
societal,səsaɪɪtəl,səsaɪətəl səsɑɪɪtəl
society,soʊsaɪɪti,səsaɪəti səsaɪəti səsaɪəti səsaɪəti səsɑɪɪti səsɑɪɪti səsɑɪɪti
sociopath,soʊsioʊpæθ,soʊsiəpæθ
socket,sɑkət sɒkət,sɑkɪt sɑkɪt sɑkɪt
sodomize,sɔdəmaɪz,sɑdəmaɪz
softener,sɔfənɝ sɔfənɚ,sɑfənɚ
software,sɔftwɛɹ,sɑftwɛɹ sɔftwɛəɹ
softwood,sɔftwʊd,sɑftwʊd
solely,soʊəli,soʊlli
solemnly,sɔləmli,sɑləmli
soliciting,səlɪsətɪŋ,səlɪsɪtɪŋ
solicitous,səlɪsətəs,səlɪsɪtəs səlɪsɪtəs
solid,sɑləd sɒləd,sɑlɪd sɑlɪd sɑlɪd sɑlɪd sɑlɪd sɑlɪd sɑlɪd sɑlɪd sɑlɪd sɑlɪd sɑlɪd sɑlɪd sɑlɪd
solidarity,sɑlədɛɹəti sɒlədɛɹəti,sɑlɪdɛɹəti sɑlədæɹɪti sɑlədæɹɪti
solidly,sɑlədli sɒlədli,sɑlɪdli sɑlɪdli sɑlɪdli sɑlɪdli sɑlɪdli sɑlɪdli
soloist,soʊloʊəst,soʊloʊɪst
solstice,sɔlstɪs,sɑlstɪs sɑlstɪs soʊl
solvency,sɔlvənsi,sɑlvənsi sɑl
someone,sʌmwAH2n,sʌmwʌn sʌmwʌn wən
somersault,sʌmɝsɔlt sʌmɚsɔlt,sʌmɚsɑlt sʌməɹsɔlt
sometimes,səmtaɪmz,sʌmtaɪmz sʌmtɑɪmz
somewhat,sʌmwʌt,sʌmwɑt sʌmhwʌt wʌt hwɑt wɑt
songbird,sɔŋbɝd sɔŋbɚd,sɑŋbɝd
songbook,sɔnɡbʊk,sɑŋbʊk
songwriter,sɔŋɹaɪtɝ sɔŋɹaɪtɚ,sɑŋɹaɪtɚ sɔŋɹɑɪtəɹ
songwriting,sɔŋɹaɪtɪŋ,sɑŋɹaɪtɪŋ
sonogram,sɔnəɡɹæm,sɑnəɡɹæm
sooty,suti,sʊti sʊti
sophisticate,səfɪstəkeɪt,səfɪstəkət
sophomore,sɑfmɔɹ sɒfmɔɹ,sɑfəmɔɹ sɑfəmɔɹ moʊɹ
sophomoric,sɑfoʊmɑɹɪk sɑfoʊmɒɹɪk sɒfoʊmɑɹɪk sɒfoʊmɒɹɪk,sɑfəmɔɹɪk sɑfəmɔɹɪk moʊɹ
soprano,səpɹɑnoʊ səpɹɒnoʊ,səpɹænoʊ səpɹænoʊ səpɹænoʊ pɹɑnoʊ
sorority,sɝɔɹəti sɚɔɹəti,səɹɔɹəti səɹɔɹɪti ɹɑɹ
sorrowful,sɑɹoʊfəl sɒɹoʊfəl,sɔɹəfəl
sot,sɔt,sɑt
sour,saʊɝ saʊɚ,saʊɹ saʊɹ sɑʊəɹ sɑʊəɹ
sow,saʊ,soʊ soʊ soʊ
spacesuit,speɪsut,speɪssut
spandex,spændəks,spændɛks
sparkly,spɑɹkli spɒɹkli,spɑɹkəli
spasmodic,spæzmɔdɪk,spæzmɑdɪk
spasmodically,spæzmɔdɪkli,spæzmɑdɪkəli
spatula,spætʃʊlə,spætʃələ spætʃələ spætʃələ
speciality,spɛʃiælɪti,spɛʃiæləti spɛʃiæləti spɛʃiæləti
specifically,spəsɪfɪkli,spəsɪfɪkəli spəsɪfɪkəli spɪsɪfɪkli spɪsɪfɪkli
specification,spɛsɪfɪkeɪʃən,spɛsəfəkeɪʃən spɛsəfɪkeɪʃən
speedometer,spidɑmətɝ spidɑmətɚ spidɒmətɝ spidɒmətɚ,spɪdɑmətɚ spɪdɑmɪtəɹ
spherical,sfɛɹɪkəl,sfɪɹɪkəl sfɪɹɪkəl sfɛɹ
spina,spinə,spaɪnə
spinach,spɪnətʃ,spɪnɪtʃ spɪnɪtʃ
spirited,spɪɹɪtəd,spɪɹətɪd spɪɹɪtɪd
spiritualism,spɪɹɪtʃuəlɪzm,spɪɹətʃuəlɪzəm
spiritualist,spɪɹɪtʃuəlɪst,spɪɹətʃuəlɪst
spirituality,spɪɹɪtʃuæləti,spɪɹətʃuæləti
spiritually,spɪɹɪtʃuəli,spɪɹətʃuəli
spitball,spɪtbɔl,spɪtbɑl spɪtbɑl
splendidly,splɛndədli,splɛndɪdli splɛndɪdli splɛndɪdli
splenic,splɛnɪk,splinɪk
spontaneity,spɑntəniəti spɒntəniəti,spɑntəneɪəti spɑntəneɪəti
sporadic,spɝædɪk spɚædɪk,spəɹædɪk spəɹædɪk
sporadically,spɝædɪkli spɚædɪkli,spəɹædɪkəli
spotted,spɑtəd spɒtəd,spɑtɪd
sprawled,spɹɔld,spɹɑld
sprinkler,spɹɪŋklɝ spɹɪŋklɚ,spɹɪŋkəlɚ spɹɪŋkəlɚ spɹɪŋkləɹ
sprinkling,spɹɪŋklɪŋ,spɹɪŋkəlɪŋ
sprocket,spɹɑkət spɹɒkət,spɹɑkɪt wil
squalid,skwɑləd skwɒləd,skwɑlɪd skwɑlɪd skwɑlɪd
squarely,skwɛɹli,skwɛɹ skwɛɹ skwɛəɹli skwɛəɹli
stairs,stɛɹz,stɛəɹz
stalker,stɔkɝ stɔkɚ,stɑkɚ stɑkɚ stɔkəɹ
stalwart,stɔlwɝt stɔlwɚt,stɑlwɚt stɑlwɚt stɔlwəɹt
stanch,stæntʃ,stɑntʃ stɔntʃ stɑntʃ
standardization,stændɝdɪzeɪʃən stændɚdɪzeɪʃən,stændɚdəzeɪʃən
staphylococcus,stæfələkɔkəs,stæfələkɑkəs
stapler,steɪpəlɝ steɪpəlɚ,steɪplɚ steɪpləɹ
stardust,stɑɹdAH2st stɒɹdAH2st,stɑɹdʌst
stars,stɑɹz stɒɹz,stɑɹ
startling,stɑɹtlɪŋ stɒɹtlɪŋ,stɑɹtəlɪŋ
stateless,steɪtlɪs,steɪtləs
statesmanlike,stətɛsmənlaɪk,steɪtsmənlaɪk
staunchly,stɔntʃli,stɑntʃli
steadiness,stɛdinɪs,stɛdinəs stɛdinəs stɛdinəs stɛdinəs stɛdinəs stɛdinəs
stencil,stɛnsɪl,stɛnsəl stɛnsəl stɛnsəl
stenographer,stɛnʌɡɹəfɝ stɛnʌɡɹəfɚ,stənɑɡɹəfɚ stənɑɡɹəfəɹ
stepdaughter,stɛpdɔtɝ stɛpdɔtɚ,stɛpdɑtɚ stɛpdɔtəɹ
stepmother,stɛpmAH2ðɝ stɛpmAH2ðɚ,stɛpmʌðɚ stɛpmʌðəɹ
stepson,stɛpsAH2n,stɛpsʌn stɛpsʌn
stereotype,stɛɹioʊtaɪp,stɛɹiətaɪp stɛɹiətɑɪp
stereotypical,stɛɹioʊtɪpɪkəl,stɛɹiətɪpɪkəl
sterility,stɝɪlɪti stɚɪlɪti,stəɹɪləti stəɹɪləti stəɹɪləti stəɹɪlɪti
steroid,stɝɔɪd stɚɔɪd,stɛɹɔɪd stɛɹɔɪd stɛɹɔɪd stɛɹɔɪd stɪəɹ
stickball,stɪkbɔl,stɪkbɑl
stickler,stɪkəlɝ stɪkəlɚ,stɪklɚ stɪkləɹ
stifling,staɪflɪŋ,staɪfəlɪŋ staɪfəlɪŋ stɑɪflɪŋ
stiletto,stəlɛtoʊ,stɪlɛtoʊ stɪlɛtoʊ
stilt,stɪlt,stɪlts stɪlts
stinginess,stɪndʒinɪs,stɪndʒinəs
stipend,staɪpənd,staɪpɛnd staɪpɛnd stɑɪpɛnd pənd
stirrup,stɝəp stɚəp,stɪɹəp stɜɹəp stɪɹ
stoically,stoʊɪkli,stoʊɪkəli
stoicism,stoʊəsɪzəm,stoʊɪsɪzəm
stolid,stɑləd stɒləd,stɑlɪd stɑlɪd stɑlɪd
storage,stɔɹədʒ,stɔɹɪdʒ stɔɹɪdʒ stoʊɹ
storefront,stɔɹfɹɑnt stɔɹfɹɒnt,stɔɹfɹʌnt stɔɹfɹʌnt stoʊɹ
straitjacket,stɹeɪtdʒækət,stɹeɪtdʒækɪt stɹeɪtdʒækɪt stɹeɪtdʒækɪt
stranded,stɹændəd,stɹændɪd stɹændɪd
strategically,stɹətidʒɪkli,stɹətidʒɪkəli stɹətidʒɪkəli
strategist,stɹætɪdʒɪst,stɹætədʒɪst stɹætədʒɪst stɹæ
stratified,stɹætəfaɪd,stɹætəfɑɪd
stratospheric,stɹætəsfɪɹɪk,stɹætəsfɛɹɪk stɹætəsfɛɹɪk
stratus,stɹætəs,stɹeɪtəs
streamlined,stɹimlaɪnd,stɹimlɑɪnd stɹimlɑɪnd
streptococcus,stɹɛptəkɔkəs,stɹɛptəkɑkəs
stroganoff,stɹoʊɡənɔf,stɹɔɡənɔf
strongman,stɹɔŋmæn,stɹɑŋmæn stɹɑŋmæn
strontium,stɹɑntiəm stɹɒntiəm,stɹɑnʃiəm
struggling,stɹʌɡəlɪŋ,stɹʌɡlɪŋ
strychnine,stɹɪknaɪn,stɹɪknin
stunted,stʌntɪd,stʌnɪd
stupa,stupɑ stupɒ,stupə
stupid,stupəd,stupɪd stupɪd stupɪd stupɪd
stupidity,stupɪdɪti,stupɪdəti
stupidly,stupədli,stupɪdli
styling,staɪlɪŋ,staɪl
stylistically,staɪlɪstɪkli,staɪlɪstɪkəli
stylize,staɪlaɪz,stɑɪlɑɪz
stylized,staɪlaɪzd,staɪəlaɪzd stɑɪlɑɪzd
subatomic,sAH2bətɑmɪk sAH2bətɒmɪk,sʌbətɑmɪk sʌbətɑmɪk
subcompact,səbkɑmpækt səbkɒmpækt,səbkəmpækt sʌbkɑmpækt
subconscious,səbkɑnʃəs səbkɒnʃəs,sʌbkɑnʃəs sʌbkɑnʃəs
subconsciously,səbkɑnʃəsli səbkɒnʃəsli,sʌbkɑnʃəsli
subcontinent,səbkɑntɪnənt səbkɒntɪnənt,sʌbkɑnənənt
subcontract,səbkɑntɹækt səbkɒntɹækt,sʌbkɑntɹækt
subcontractor,səbkɑntɹæktɝ səbkɑntɹæktɚ səbkɒntɹæktɝ səbkɒntɹæktɚ,sʌbkɑntɹækɚ sʌbkɑntɹæktəɹ sʌbkɑn sʌbkəntɹæk kɑntɹækɚ
subculture,sʌbkAH2ltʃɝ sʌbkAH2ltʃɚ,sʌbkʌltʃɚ sʌbkʌltʃəɹ
subcutaneous,səbkjuteɪniəs,sʌbkjuteɪniəs
subdivide,sAH2bdəvaɪd,sʌbdɪvaɪd sʌbdɪvɑɪd
subhuman,sAH2bhjumən,sʌbhjumən
subject,səbdʒɛkt,sʌbdʒɛkt sʌbdʒɛkt sʌbdʒɛkt sʌbdʒɛkt sʌbdʒɛkt sʌbdʒɪkt dʒɛkt sʌbdʒɪkt dʒɛkt sʌbdʒɪkt dʒɛkt sʌbdʒɪkt dʒɛkt
subjectivity,səbdʒɛktɪvɪti,sʌbdʒɛktɪvəti
subliminal,səblɪmɪnəl,səblɪmənəl səblɪmənəl səblɪmənəl
subliminally,səblɪmɪnəli,sʌblɪmənəli
submarine,sʌbmɝin sʌbmɚin,sʌbməɹin sʌbməɹin sʌbməɹin
submersible,səbmɝsɪbəl səbmɚsɪbəl,səbmɝsəbəl
subordinate,səbɔɹdəneɪt,səbɔɹdənət səbɔɹdənət
subpar,səbpɑɹ səbpɒɹ,sʌbpɑɹ sʌbpɑɹ
subsequent,sʌbsəkwənt,sʌbsɪkwənt sʌbsɪkwənt kwɛnt
subsequently,sʌbsəkwəntli,sʌbsɪkwəntli
subsidize,sʌbsɪdaɪz,sʌbsədaɪz sʌbsədɑɪz
subsidized,sʌbsɪdaɪzd,sʌbsədaɪzd
subsidy,sʌbsɪdi,sʌbsədi sʌbsədi
substandard,səbstændɝd səbstændɚd,sʌbstændɚd sʌbstændəɹd
substantiate,səbstæntʃieɪt,səbstænʃieɪt səbstænʃieɪt
substantiation,səbstæntʃieɪʃən,səbstænʃieɪʃən
substitution,sAH2bstɪtuʃən,sʌbstətuʃən sʌbstətuʃən sʌbstɪtuʃən
subterranean,səbtɝeɪniən səbtɚeɪniən,sʌbtəɹeɪniən sʌbtəɹeɪniən
subversion,səbvɝʒən səbvɚʒən,səbvɝʃən səbvɜɹʒən
succulent,sʌkjəlɪnt,sʌkjələnt sʌkjələnt
suffocation,sAH2fəkeɪʃən,sʌfəkeɪʃən
suffragette,sAH2fɹədʒɛt,sʌfɹədʒɛt
suitability,sutəbɪlɪti,sutəbɪləti
suited,sutəd,sutɪd sutɪd
sukiyaki,sukiɑki sukiɒki,sukijɑki
summarily,səmɛɹɪli,sʌmɛɹəli
summarize,sʌmɝaɪz sʌmɚaɪz,sʌməɹaɪz sʌməɹɑɪz
summit,sʌmət,sʌmɪt sʌmɪt sʌmɪt sʌmɪt
sumptuous,sʌmptʃwəs,sʌmptʃuəs sʌmtʃuəs
sunscreen,sənskɹin,sʌnskɹin sʌnskɹin
sunup,sʌnəp,sʌnʌp
superb,sʊpɝb sʊpɚb,supɝb sʊpɜɹb
superconductivity,supɝkɑndAH2ktɪvəti supɝkɒndAH2ktɪvəti supɚkɑndAH2ktɪvəti supɚkɒndAH2ktɪvəti,supɚkɑndʌktɪvəti
superconductor,supɝkəndAH2ktɝ supɝkəndAH2ktɚ supɚkəndAH2ktɝ supɚkəndAH2ktɚ,supɚkəndʌktɚ
supercooled,supɝkuld supɚkuld,supəkuld
superfluous,supɝflwAH2s supɚflwAH2s,supɝfluəs sʊpɜɹfluəs
superhero,supɝhiɹoʊ supɚhiɹoʊ,supɚhɪɹoʊ supɚhɪɹoʊ supəɹhɪəɛɹoʊ supəɹhɪəɛɹoʊ
superimpose,supɝəmpoʊz supɚəmpoʊz,supɚɪmpoʊz
superintendent,supɝəntɛndənt supɚəntɛndənt,supɚɪntɛndənt supɚɪntɛndənt supəɹɪntɛndənt supɹɪn supəɹɪntɛndənt supɹɪn
superior,supɪɹiɝ supɪɹiɚ,səpɪɹiɚ səpɪɹiɚ səpɪɹiɚ səpɪɹiɚ sʊpɪəɹiəɹ sʊpɪəɹiəɹ sʊpɪəɹiəɹ
superiority,supɪɹiɔɹɪti,səpɪɹiɔɹəti səpɪɹiɔɹəti səpɪɹiɔɹəti sʊpɪəɹiɔɹɪti ɑɹɪti
superlative,sʊpɝlətɪv sʊpɚlətɪv,səpɝlətɪv sʊpɜɹlətɪv
superman,supɝmən supɚmən,supɚmæn
superstructure,supɝstɹAH2ktʃɝ supɝstɹAH2ktʃɚ supɚstɹAH2ktʃɝ supɚstɹAH2ktʃɚ,supɚstɹʌktʃɚ supɚstɹʌktʃɚ supɚstɹʌktʃɚ supəɹstɹʌktʃəɹ
supine,səpaɪn,supaɪn supaɪn
supplemental,sAH2pləmɛntəl,sʌpləmɛntəl
supplementary,sAH2pləmɛntəɹi,sʌpləmɛntɚi sʌpləmɛntɚi sʌpləmɛnttəɹi mɛntɹi
supplies,səplaɪz,səplɑɪz
supposedly,səpoʊzədli,səpoʊzɪdli səpoʊzɪdli
supposition,sAH2pəzɪʃən,sʌpəzɪʃən sʌpəzɪʃən
supremely,supɹiməli,supɹimli
surface,sɝfəs sɚfəs,sɝ sɝ sɝ sɝ sɜɹfəs sɜɹfəs sɜɹfəs
surfeit,sɝfət sɚfət,sɝfɪt
surgery,sɝdʒɝi sɝdʒɚi sɚdʒɝi sɚdʒɚi,sɝdʒəɹi sɝdʒəɹi sɝdʒəɹi sɝdʒəɹi sɜɹdʒəɹi sɜɹdʒəɹi
surgically,sɝdʒɪkəli sɚdʒɪkəli,sɝʤɪkəli
surreal,sɝil sɚil,səɹiəl səɹil
surrealism,sɝilɪzəm sɚilɪzəm,səɹiəlɪzəm
surrealistic,sɝilɪstɪk sɚilɪstɪk,səɹiəlɪstɪk
surrender,sɝɛndɝ sɝɛndɚ sɚɛndɝ sɚɛndɚ,səɹɛndɚ səɹɛndɚ səɹɛndɚ səɹɛndəɹ səɹɛndəɹ
surround,sɝaʊnd sɚaʊnd,səɹaʊnd səɹɑʊnd səɹɑʊnd
surrounding,sɝaʊndɪŋ sɚaʊndɪŋ,səɹaʊndɪŋ
surroundings,sɝaʊndɪŋz sɚaʊndɪŋz,səɹaʊndɪŋz səɹaʊndɪŋz səɹɑʊndɪŋz
survivability,sɝvaɪvəbɪlɪti sɚvaɪvəbɪlɪti,sɚvaɪvəbɪləti sɚvaɪvəbɪləti
susceptibility,səsɛptəbɪləti,səsɛptəbɪləi
suspected,səspɛktəd,səspɛktɪd səspɛktɪd
suspenders,səspɛndɝz səspɛndɚz,səspɛndəɹz
sustainability,səsteɪnəbɪlɪti,səsteɪnəbɪləti səsteɪnəbɪləti ətIi ətIi
swanky,swɑŋki swɒŋki,swæŋki swæŋki swæŋki
swashbuckling,swɑʃbAH2klɪŋ swɒʃbAH2klɪŋ,swɑʃbʌklɪŋ
sweetener,switənɝ switənɚ,switnɚ switnɚ switnɚ switənəɹ
switches,swɪtʃəz,swɪtʃ
